area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name
Kotikambokka,152,1844,150,151,157,156,150,145,162,139,121,120,114,107,79,39,26,18,3,4,2,1,Monaragala,Kotikambokka,kotikambokka,Kotikambokka,Kotikambokka,1,1,AUTO_MATCH_OK,
Galbokka,152A,1036,99,84,67,77,83,98,104,85,67,51,68,51,47,31,14,9,1,0,0,0,Monaragala,Galbokka,galbokka,,,2,,UNMATCHED,Galbokka
Dimbulamuraya,152B,1859,163,159,152,131,130,178,167,114,114,122,132,110,80,40,30,21,7,7,1,1,Monaragala,Dimbulamuraya,dimbulamuraya,,,1,,UNMATCHED,Dimbulamuraya
Wellawaya,151,4062,381,359,334,376,365,352,347,291,269,277,224,179,124,79,49,33,13,4,3,3,Monaragala,Wellawaya,wellawaya,Wellawaya,Wellawaya,1,1,AUTO_MATCH_OK,
Yalabowa,151C,1783,196,188,154,123,153,160,159,133,110,107,92,78,56,36,18,15,3,2,0,0,Monaragala,Yalabowa,yalabowa,Yalabowa,Yalabowa,1,1,AUTO_MATCH_OK,
Nugayaya,151D,1547,164,135,120,127,119,140,132,95,87,104,98,72,56,36,20,21,18,3,0,0,Monaragala,Nugayaya,nugayaya,Nugayaya,Nugayaya,1,1,AUTO_MATCH_OK,
Warunagama,151B,5189,473,454,410,433,406,492,502,355,303,341,324,278,181,96,54,47,21,16,2,1,Monaragala,Warunagama,warunagama,Warunagama,Warunagama,1,1,AUTO_MATCH_OK,
Anapallama,151A,2125,208,192,194,191,182,188,193,140,147,130,128,89,57,34,26,12,7,4,0,3,Monaragala,Anapallama,anapallama,Anapallama,Anapallama,1,1,AUTO_MATCH_OK,
Pubuduwewa,150F,2165,208,196,169,178,214,213,179,137,135,140,156,93,69,33,21,11,6,4,0,3,Monaragala,Pubuduwewa,pubuduwewa,Pubuduwewa,Pubuduwewa,1,1,AUTO_MATCH_OK,
Neluwagala,151G,1843,211,169,130,120,183,170,156,125,105,117,103,87,62,44,31,12,10,5,2,1,Monaragala,Neluwagala,neluwagala,Neluwagala,Neluwagala,1,1,AUTO_MATCH_OK,
