GN_code,Name,dist_to_nearest_hospital_km,nearest_hospital_id,dist_to_nearest_school_km,nearest_school_id
92,Welibissa1,7.533177160445018,13569933830,3.9959108300575807,7994210817
93,Ranwanguhawa,7.281980635171635,1993203380,4.758529294482964,7994210817
94,Moraketiya,4.549980431305436,1993203376,4.426267652499358,1993203238
95,Ampitithenna,1.1334676731432944,9608017983,5.809221489152278,1993203460
96,Kirawanagama1,4.398658514815652,1993203380,2.9000607015932856,7994210817
97,Nikapotha West,3.534651230717916,1993203376,3.230812795196064,1993203238
98,Amilagama,6.735502919769269,13569933830,2.8629876500543916,7994210817
99,Divulgasmulla,4.3113521397691965,6257451773,5.8028882804020965,12843190591
100,Lemasthota,3.5760474532893243,9608017983,3.722103605348198,1993203439
101,Elewela,2.4256843416726026,1974694453,0.33671673170508076,2235191852
102,Kotabakma,0.732355131829783,9608017983,4.4815625522101925,1993203460
103,Uvathenna,9.159247552533913,3874862041,3.1966693819852705,5632183375
104,Soragune,7.777470031310278,13569933830,3.336567443215691,1712897670
105,Walhaputhenna,7.5706137733809635,3874862041,0.3016996454802914,5729802350
106,Thotalagala,2.1350724537739865,1993203376,0.821744431692714,1993203439
107,Beragala,6.151805209538707,13569933830,2.6491929912337038,7994210817
108,Haldummulla,6.630580286253123,10110608400,1.8209143857509618,5729802350
109,Bubula,4.496450973269748,5400935336,5.28654348498788,5385075809
110,Kalupahana,6.769773117579324,3874862041,1.040701913450597,5632183375
111,Koslanda,2.7626230220040777,1993203085,2.364375691743623,1993203096
112,Kotathalawa,1.9376669678695284,5400935336,8.626977277241686,5385075809
113,Glenanore,4.152727975099923,13569933830,2.4581695494467612,7994210817
114,Pethiyagoda,6.376925898535004,5400935336,15.443607806494834,2902114409
115,Andaulpatha,3.9619079101487555,5400935336,7.231035251942791,4561229190
116,Nagadeepa,2.988685460079894,5400935336,10.835565806518176,4561229190
117,Pahalaoyagama,6.085520078223775,5400935336,5.306602484367647,4561229190
118,Ekiriyankumbura,12.68459340539266,9916792559,20.73849085728403,6594587260
119,Mahalunuka,6.004980771669235,5400935336,15.012683848016012,4561229190
120,Gamakumbura North,6.760967525432545,5400935336,7.572124090973638,4561229190
121,Dehigama,8.750296488170948,9916792559,19.29739629847447,5385075809
122,Morana,9.642244737759972,5400935336,13.489637599257897,5578246161
123,Uva Thissapura,8.723225037618674,5400935336,7.7357906172469875,1974709638
124,Thelhawadigama,3.4269682663556837,4885968676,0.9521695874221225,11254370023
125,Maligathenna1,4.036949649288791,1819855346,1.465960566914105,9772759650
126,Maligathenna1,4.2883973832138125,1819855346,0.6905955718417766,1819855544
127,Kirinda1,3.453971149872351,12587438202,1.9518573934746022,5573272529
128,Udawela,3.3945402552736925,3298298268,3.5455336694620128,2078653445
129,Udawela,3.3661829770008316,3298298268,3.4630389796265573,2078653445
130,Ambagahakumbura,1.02063429699899,2915434805,0.8145979640929508,9770268207
131,Divurumgama,1.3899848400307002,4885968676,0.37064374239342845,4799050971
132,Kirioruwa1,4.260098307590613,11966368769,1.0650858117630462,6458423923
133,Kirioruwa1,5.919001543899217,11966368769,2.292011457950213,6458423923
134,Kirioruwa1,4.863993872780041,11966368769,1.614269029872149,6458423923
135,Dikkapitiya,2.1539544514870244,2905118777,2.257414678063493,9790608104
136,Icelab Watta,3.3852089893498487,11966368769,1.08001098533829,6458423923
137,Icelab Watta,5.077390125201381,11966368769,1.4969266554334355,6458423923
138,Icelab Watta,5.301440844365794,11966368769,1.61382131975545,6458423923
139,Demodara1,2.743872416867866,7086354795,1.4755328757124866,5573272529
140,Beddewela,4.813521135751337,11425573259,2.2957077284198566,2078581451
141,Welimada Town,0.12237518416257151,4883566067,0.7563895525108321,9770272743
142,Anthuduwawela,3.74362059810549,13084509423,3.7427062953358123,5398371669
143,Dayaraba Watta,2.2791809071363427,2905118777,2.086066101249548,2921334809
144,Welimada Watta,1.191380852932699,2915434805,1.3071579840592502,9770268207
145,Puhulpola,1.6302940480771893,2905118777,1.878313072836408,9790608104
146,Magiripura,3.08293093875586,13569933830,1.5119846351503765,7994210817
147,Dickwella,3.6593272898635036,13084509423,4.0174122049060355,6815543140
148,Metiwalalanda,2.3018774059039893,9785764862,2.3336239956528404,9790608104
149,Lunuwatta,0.07398758310515603,9774873911,1.406117810728381,10677516870
150,Paranagama,1.683820140119492,2524559835,3.0538812939849316,10677516870
