Name,Edu_Count,Health_Count
Kirawanagama1,0,0
Kirawanagama2,0,0
Kiri Ibbanwewa,0,0
Kirinda1,0,0
Kirinda2,0,0
Kirioruwa1,0,0
Kirioruwa2,0,0
Kirivehera,0,0
Kithalella,2,6
Kithulgahaarawa,0,0
Kithulkote,0,0
Kithulwattagama,0,0
Kivul Ara,0,0
Kivulayaya,0,0
Kivulegedara,0,0
Kodakumbura,0,0
Kodayana,0,0
Kohana,0,0
Kohilegama,0,0
Kohovila,0,0
Kohukumbura,0,0
Kokatiyamaluwa,0,0
Kokunnewa,0,0
Kolathenna,0,3
Kolladeniya,0,0
Kolongasthenna,0,0
Kolonvinna,0,0
Komarika,1,0
Kongolla,0,0
Konketiya,0,0
Konthahela,0,0
Kooragammana,0,0
Koradekumbura,0,0
Kosgama,0,0
Kosgolla,1,0
Koskanuwegama,0,0
Koslanda,0,0
Kotabakma,0,0
Kotabowa,0,0
Kotagama,0,0
Kotagoda,0,0
Kotakithula,1,0
Kotamuduna,0,0
Kotathalawa,0,0
Kotavehera Mankada,0,0
Kotawera Pahalagama,0,4
Kotawera Udagama,1,0
Kotikambokka,0,0
Kotiyagala,0,0
Kotiyagoda,0,0
Kottagala,0,0
Kottagoda,0,0
Kottalbedda,0,0
Kudalunuka,0,0
Kudugala Pathana,0,0
Kudumahuwela,0,0
Kukulapola,0,0
Kukurampola,0,0
Kumaragama,0,0
Kumarapattiya,0,0
Kumarapura,0,0
Kumbukkana,0,0
Kuralewela,0,0
Kurugama,0,0
Kurukude,0,0
Kurundugolla,0,0
Kuruvithenna,0,0
Kuruwamba,0,0
Kuttiyagolla,1,0
Landegama,1,0
Landewela,0,0
Ledgerwatta,0,0
Lemasthota,0,0
Lindakumbura,0,0
Liyangahawela,0,1
Liyangahawela Watta,0,1
Liyangolla,0,0
Lunugala Colony,0,0
Lunugala Town,0,0
Lunuwatta,0,0
Madamagama,0,1
Madhuragama,0,6
Madugahapattiya,0,0
Madugama,0,0
Madugasmulla,0,0
Madugasthalawa North,0,0
Madugasthalawa South,0,0
Madukotan Arawa,0,0
Madulsima,0,0
Maduruketiya,0,0
Maduwatta,0,0
Magandana,0,0
Magandanamulla,0,0
Magandaoya Colony,0,0
Magiripura,1,3
Maha Kalugolla,0,0
Mahaaragama,1,0
Mahadowa,0,0
Mahagama,0,0
Mahagodayaya,0,0
Mahakanda,0,0
Mahakele,0,0
Mahalanda,0,0
Mahalunuka,0,0
Mahasenpura,0,0
Mahatenna1,0,0
Mahatenna2,0,0
Mahathenna,0,0
Mahaulpatha,0,0
Mahawattagama,0,0
Mahawewa,0,0
Mahiyanganaya Town,0,2
Mailagasthenna,0,0
Maiyokka Watta,0,0
Makulella,0,1
Makulla,0,0
Malangamuwa,0,0
Malapolagama,0,0
Maligathenna,1,0
Maligathenna1,2,0
Maligathenna2,0,0
Maligathenna3,0,0
Maligavila,0,0
Malitta,1,0
Maliyadda,0,0
Mallehewa,0,0
Malpotha,0,0
Malwattegama,0,0
Manabharana,0,0
Manthenna,0,0
Mapakadawewa,1,0
Marangahawela,0,0
Marawa,0,0
Mariarawa,0,0
Maspanna,0,0
Mathetilla,0,0
Maussagolla East,0,0
Maussagolla West,0,0
Mavithikumbura,0,0
Medagama,0,0
Medagama1,0,1
Medagama2,0,0
Medagedaragama,0,0
Medagodagama,0,0
Medapathana,0,0
Medapitigama,0,0
Medawela West,0,0
Medawela1,0,0
Medawela2,0,0
Medawelagama,0,0
Medayaya,0,0
Medipitiya,0,0
Medipokuna,0,0
Meedumpitiya,0,0
Meegahahena,0,0
Meegahakivula,1,0
Meegahayaya,0,0
Meeriyabedda,0,0
Meeyagala,0,0
Mellagama,0,0
Metigahathenna,0,0
Metiwalalanda,0,0
Millabedda,0,0
Millagama,0,1
Millattawa,0,0
Minipura,0,0
Minipuragama,0,0
Mirahawatta,0,0
Miyanakadura,0,0
Monaragala,2,0
Monarawana,0,0
Moragolla,0,0
Morahela,0,0
Moraketiya,0,0
Morana,0,0
Morattamulla,0,0
Moratuwagama,0,0
Morethota,1,0
Mudagamuwa,0,0
Mudanawa,0,0
Mudiyala,0,0
Mugunumatha East,0,0
Mugunumatha West,0,0
Mullegama,0,0
Muppane,1,0
Muthukandiya,0,0
Muthukeliyawa,0,0
Muthuminigama,0,0
Nagadeepa,0,0
Nagala,0,0
Nakkala,0,0
Namaloya Colony,0,0
Namunukula,0,0
Nannapurawa,0,0
Nape,0,0
Narangala,0,0
Naranwatta,0,0
Navulla,0,0
Nawela,0,0
Nawela East,0,0
Nawela West,0,0
Nayabedda Estate,0,0
Nedungamuwa,1,0
Neelawa Bedda,0,0
Nelliyadda,0,0
Neludanda,0,0
Neluwa,0,0
Neluwagala,0,0
Newberg,1,6
Newgala,0,0
Nikapotha East,0,0
Nikapotha West,0,0
Nikawewa,0,0
Nikebedda,0,0
Nilgala,0,0
Niliathugoda,0,0
Nugagahakivula,0,0
Nugamura,0,0
Nugayaya,0,0
Nugegalayaya,0,0
Obadella,0,0
Obbegoda,0,0
Ohiya,0,0
Ohiya Estate,0,0
Okkampitiya,0,0
Orubendiwewa,0,0
Pagura,0,0
Pahala Kadurugamuwa,0,0
Pahala Rathkinda,0,0
Pahalagama,1,0
Pahalaoyagama,0,0
Pahalayalkumbura,0,0
Pahamunuthota,0,0
Pahatha Arawa,0,0
Palagolla,0,0
Palawatta,0,0
Pallegama1,0,0
Pallegama2,0,0
Pallekanda,0,0
Pallekiruwa,0,0
Palleperuwa,0,0
Pallewela,0,0
Pallewela1,0,0
Pallewela2,1,0
Palugama Ella,0,0
Palugama Town,0,0
Panagoda,0,0
