area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name,children,working,elderly,p_children,p_working,p_elderly_60plus,dependency_ratio,preschool,primary,junior_secondary,senior_secondary_plus,total_school_age,working_age_15_59,p_preschool,p_primary,p_junior_sec,p_senior_plus,p_school_age,education_dependency_ratio,elderly_65plus,p_elderly,Edu_Count,Health_Count,name_key,n_polygons,dist_hospital_km,dist_school_km,dist_hospital_max,dist_school_max,cluster_kmeans,priority_education,priority_health,priority_dual
Lunugala Town,94A,1432,127,135,128,138,99,101,100,86,101,97,91,76,50,35,18,17,18,8,1,6,Badulla,Lunugala Town,lunugala town,Lunugala Town,Lunugala Town,1,1.0,AUTO_MATCH_OK,,390,889,153,27.23463687150838,62.08100558659218,10.684357541899441,61.079865016872894,127,135,128,138,528,889,8.868715083798882,9.427374301675979,8.938547486033519,9.636871508379889,36.87150837988827,59.392575928008995,103,7.192737430167598,0.0,0.0,lunugalatown,1.0,0.4007640185574662,11.622824681147142,0.4007640185574662,11.622824681147142,1,True,False,True
Janathapura South,95B,415,33,38,33,25,24,33,32,27,26,26,26,34,16,22,11,6,1,1,1,0,Badulla,Janathapura South,janathapura south,Janathapura South,Janathapura South,1,1.0,AUTO_MATCH_OK,,104,253,58,25.060240963855424,60.96385542168675,13.975903614457833,64.03162055335969,33,38,33,25,129,253,7.951807228915662,9.156626506024097,7.951807228915662,6.024096385542169,31.08433734939759,50.988142292490124,42,10.120481927710843,0.0,0.0,janathapurasouth,1.0,1.2776522462710054,11.09847646812104,1.2776522462710054,11.09847646812104,0,False,False,False
Janathapura,95,1135,101,94,102,98,49,72,75,76,87,75,86,69,60,37,25,17,7,2,1,2,Badulla,Janathapura,janathapura,Janathapura,Janathapura,1,1.0,AUTO_MATCH_OK,,297,687,151,26.16740088105727,60.52863436123348,13.303964757709252,65.21106259097526,101,94,102,98,395,687,8.898678414096917,8.28193832599119,8.986784140969164,8.634361233480176,34.801762114537446,57.49636098981077,91,8.01762114537445,0.0,0.0,janathapura,1.0,2.26980829298884,9.7527875923055,2.26980829298884,9.7527875923055,1,False,False,False
Batawatta,18D,1372,121,118,149,117,112,99,87,66,97,109,95,58,48,44,30,16,6,0,0,0,Badulla,Batawatta,batawatta,Batawatta,Batawatta,1,1.0,AUTO_MATCH_OK,,388,840,144,28.279883381924197,61.224489795918366,10.495626822157435,63.33333333333333,121,118,149,117,505,840,8.81924198250729,8.60058309037901,10.860058309037901,8.527696793002915,36.80758017492711,60.11904761904761,96,6.997084548104956,0.0,0.0,batawatta,1.0,4.757131521130166,8.00315779219947,4.757131521130166,8.00315779219947,0,False,False,False
Gallulla,18B,1316,147,141,159,84,74,72,92,70,75,101,75,68,57,43,34,16,3,3,1,1,Badulla,Gallulla,gallulla,Gallulla,Gallulla,1,1.0,AUTO_MATCH_OK,,447,711,158,33.96656534954408,54.027355623100306,12.006079027355623,85.0914205344585,147,141,159,84,531,711,11.170212765957446,10.714285714285714,12.082066869300911,6.382978723404255,40.349544072948326,74.68354430379746,101,7.674772036474165,0.0,0.0,gallulla,1.0,6.194922522236412,6.327173851817442,6.194922522236412,6.327173851817442,0,False,False,False
Madulsima,89C,3068,335,334,287,199,187,246,222,175,191,210,199,146,136,99,53,28,13,4,1,3,Badulla,Madulsima,madulsima,Madulsima,Madulsima,1,1.0,AUTO_MATCH_OK,,956,1775,337,31.16036505867014,57.85528031290743,10.984354628422425,72.8450704225352,335,334,287,199,1155,1775,10.91916558018253,10.886571056062582,9.354628422425032,6.486310299869621,37.64667535853977,65.07042253521126,201,6.551499348109517,0.0,0.0,madulsima,1.0,5.862416998640459,5.915895494112862,5.862416998640459,5.915895494112862,0,False,False,False
Sumudugama,94G,1321,158,138,99,91,83,96,91,61,70,92,88,80,63,45,31,22,6,3,2,2,Badulla,Sumudugama,sumudugama,Sumudugama,Sumudugama,1,1.0,AUTO_MATCH_OK,,395,752,174,29.901589704769115,56.926570779712335,13.171839515518545,75.66489361702128,158,138,99,91,486,752,11.960635881907645,10.446631339894019,7.494322482967449,6.888720666161999,36.79031037093111,64.62765957446808,111,8.402725208175625,0.0,0.0,sumudugama,1.0,1.7497296849308064,10.042961221886516,1.7497296849308064,10.042961221886516,0,True,False,True
Attanagolla,94F,999,65,92,79,84,76,59,59,61,77,69,83,64,36,40,23,19,8,4,1,0,Badulla,Attanagolla,attanagolla,Attanagolla,Attanagolla,1,1.0,AUTO_MATCH_OK,,236,632,131,23.623623623623622,63.263263263263255,13.113113113113112,58.06962025316456,65,92,79,84,320,632,6.506506506506507,9.20920920920921,7.907907907907907,8.408408408408409,32.032032032032035,50.63291139240506,95,9.50950950950951,0.0,0.0,attanagolla,1.0,0.43361563601474,12.047744218744942,0.43361563601474,12.047744218744942,1,False,False,False
Sooriyagoda,94D,712,76,60,52,47,65,68,41,37,47,42,64,40,33,15,13,7,3,2,0,0,Badulla,Sooriyagoda,sooriyagoda,Sooriyagoda,Sooriyagoda,1,1.0,AUTO_MATCH_OK,,188,451,73,26.40449438202247,63.34269662921348,10.252808988764045,57.87139689578714,76,60,52,47,235,451,10.674157303370785,8.426966292134832,7.303370786516854,6.601123595505618,33.00561797752809,52.106430155210646,40,5.617977528089887,0.0,0.0,sooriyagoda,1.0,1.5966598360705682,12.285361554591582,1.5966598360705682,12.285361554591582,1,False,False,False
Weragoda,92B,233,15,16,18,18,15,14,17,16,20,21,17,11,10,10,9,2,1,1,1,1,Badulla,Weragoda,weragoda,Weragoda,Weragoda,1,1.0,AUTO_MATCH_OK,,49,149,35,21.030042918454935,63.94849785407726,15.021459227467812,56.375838926174495,15,16,18,18,67,149,6.437768240343347,6.866952789699571,7.725321888412018,7.725321888412018,28.75536480686695,44.966442953020135,25,10.72961373390558,0.0,0.0,weragoda,2.0,9.804704974002117,15.717881570462803,16.045937792742027,20.39730697239856,1,False,True,True
Pallekiruwa,92,669,53,52,51,61,50,51,46,53,52,54,43,29,26,17,12,9,4,4,1,1,Badulla,Pallekiruwa,pallekiruwa,Pallekiruwa,Pallekiruwa,1,1.0,AUTO_MATCH_OK,,156,439,74,23.318385650224215,65.6203288490284,11.061285500747383,52.391799544419136,53,52,51,61,217,439,7.922272047832586,7.772795216741405,7.623318385650224,9.118086696562033,32.436472346786246,49.430523917995444,48,7.174887892376682,0.0,0.0,pallekiruwa,1.0,4.235917191680669,10.439994096035434,4.235917191680669,10.439994096035434,1,False,False,False
Kottalbedda,93,1742,158,186,168,121,95,97,118,96,127,106,154,96,70,69,46,23,7,2,1,2,Badulla,Kottalbedda,kottalbedda,Kottalbedda,Kottalbedda,1,1.0,AUTO_MATCH_OK,,512,1010,220,29.39150401836969,57.97933409873708,12.629161882893225,72.47524752475248,158,186,168,121,633,1010,9.07003444316877,10.677382319173363,9.644087256027554,6.946039035591274,36.337543053960964,62.67326732673267,150,8.610792192881746,0.0,0.0,kottalbedda,1.0,2.0114247631593,10.59222308233307,2.0114247631593,10.59222308233307,0,False,False,False
Mahadowa,89J,1967,220,259,219,136,97,133,123,112,122,129,116,87,99,53,37,16,7,0,1,1,Badulla,Mahadowa,mahadowa,Mahadowa,Mahadowa,1,1.0,AUTO_MATCH_OK,,698,1055,214,35.48551093035079,53.63497712252161,10.879511947127606,86.44549763033176,220,259,219,136,834,1055,11.184544992374173,13.167259786476867,11.133706151499746,6.914082358922216,42.399593289273,79.0521327014218,115,5.846466700559228,0.0,0.0,mahadowa,1.0,4.298899350608004,7.963412044080741,4.298899350608004,7.963412044080741,0,False,False,False
Yapamma,94B,968,89,90,75,85,56,55,71,51,49,73,62,60,53,34,31,22,11,0,0,1,Badulla,Yapamma,yapamma,Yapamma,Yapamma,1,1.0,AUTO_MATCH_OK,,254,562,152,26.239669421487605,58.057851239669425,15.702479338842975,72.24199288256227,89,90,75,85,339,562,9.194214876033058,9.297520661157025,7.747933884297521,8.78099173553719,35.0206611570248,60.320284697508896,99,10.227272727272728,0.0,1.0,yapamma,1.0,2.4867136108883514,8.863801629064614,2.4867136108883514,8.863801629064614,0,False,False,False
Peessagama,94I,728,81,76,68,57,49,40,45,38,35,54,62,52,23,26,7,12,3,0,0,0,Badulla,Peessagama,peessagama,Peessagama,Peessagama,1,1.0,AUTO_MATCH_OK,,225,432,71,30.90659340659341,59.34065934065934,9.752747252747254,68.51851851851852,81,76,68,57,282,432,11.126373626373626,10.43956043956044,9.340659340659341,7.829670329670329,38.73626373626374,65.27777777777779,48,6.593406593406594,0.0,0.0,peessagama,1.0,2.491972794981615,9.61852842563549,2.491972794981615,9.61852842563549,0,True,False,True
